Name,Email,Phone Number,Time of Checking Messages,Preferred Messaging Channel,Language Preferred,Type of CTA,City,Type of Device,CTR Rate
Kelly Nolan,paige33@coffey-hamilton.org,(039)238-7277,10 am,email,Chinese,know more,Sydney,iPhone,19.3
Alan Osborne,martin93@gmail.com,001-975-967-8029x938,5 pm,email,German,order now,Birmingham,iPhone,8.8
Brandy Jones,ibaker@yahoo.com,(908)097-4539,10 am,WhatsApp,German,book now,Tokyo,iPhone,6.4
Kimberly Brooks,lindsaybecker@watson-nash.com,146-505-2952,1 pm,sms,German,know more,Mumbai,Android,5.5
Patricia Alexander,joseph02@woodward.com,403.346.2277x71754,1 pm,sms,French,book now,Mumbai,iPhone,7.7
Randall Moore,tony82@cook.biz,(496)789-6065,2 pm,WhatsApp,English,book now,Toronto,iPhone,18.6
Todd Lucas,erikbrown@patel-yoder.net,(536)250-0351x210,1 pm,WhatsApp,German,book now,Mumbai,Android,8.0
Robert Cole,rodriguezleslie@gmail.com,359-534-5875x275,10 am,email,Chinese,know more,Tokyo,Android,19.2
Mark Green,ncharles@norris-brown.com,074.196.8991x324,11 am,WhatsApp,English,book now,Tokyo,Android,5.8
Kelly Garcia,jeffrey24@yahoo.com,+1-087-056-9734x712,4 pm,sms,Chinese,book now,Berlin,iPhone,5.9
Allison Preston,veronicagarner@perez.com,383-220-1021x45667,10 am,email,English,buy now,Sydney,iPhone,18.4
Cameron Powell,ohughes@mcclain-graham.net,080-735-6387,8 am,WhatsApp,French,book now,Paris,iPhone,7.2
Rebekah Whitaker,stephen00@yahoo.com,(403)068-1211x873,2 pm,email,English,book now,Birmingham,Android,9.2
Douglas Mccarthy,wintersnicholas@gmail.com,(459)528-7700,5 pm,email,German,purchase now,Sydney,iPhone,6.1
Devin Allen,ericaharris@long.com,463-353-7482,10 am,WhatsApp,Chinese,buy now,Berlin,iPhone,5.8
Anthony Flynn,kbryant@lin.org,+1-731-065-3902x638,1 pm,WhatsApp,French,order now,Birmingham,Android,7.3
Stacy Savage,brian95@yahoo.com,4569321775,2 pm,WhatsApp,German,know more,Paris,Android,18.4
Miranda Kelly,riveramichelle@jackson.com,(799)986-1291,4 pm,sms,French,buy now,London,Android,4.4
Kevin Dunn,matthewfox@gross.org,+1-584-709-8350,4 pm,WhatsApp,Chinese,purchase now,New York,Android,8.5
Gary Phillips,johnsondonald@hotmail.com,607.474.7996x37983,12 pm,email,English,buy now,Berlin,Android,9.0
Rose Brown,isanchez@gmail.com,7673546229,5 pm,WhatsApp,German,book now,Tokyo,iPhone,6.0
Joseph Hammond,michaelbutler@stanley.com,931-748-3210x761,10 am,WhatsApp,Spanish,purchase now,London,iPhone,5.2
Laura Webb,timothy74@carter.info,663-467-4496x8990,2 pm,email,Spanish,know more,London,Android,7.8
Hannah Walker,james78@gmail.com,(517)164-0487x89078,10 am,sms,English,order now,Mumbai,Android,7.8
Andrea Gray,penachristian@yahoo.com,001-654-311-2275x039,1 pm,WhatsApp,German,book now,Sydney,Android,6.9
Kevin Wise,qmartinez@gmail.com,244-732-7169,1 pm,WhatsApp,French,book now,London,Android,7.7
Patricia Henderson,veronicafreeman@sandoval.com,+1-145-528-4041x2132,4 pm,WhatsApp,Spanish,purchase now,Berlin,Android,6.5
Frank Jefferson,andrew82@gmail.com,001-197-794-9799,12 pm,sms,Spanish,buy now,Toronto,Android,6.8
Amber Molina,zthompson@cowan-barron.info,923.891.3633,11 am,email,German,order now,London,iPhone,19.0
Susan Johnson,jodycook@crawford.info,(217)164-6476x001,11 am,email,German,purchase now,Dubai,iPhone,21.8
Shawn Kim,katherinecook@morse-moreno.net,231.117.3146x264,11 am,email,German,know more,Toronto,Android,21.7
Jesus Tanner,johnhart@daniels.com,872.466.6169x23525,4 pm,email,English,order now,Tokyo,Android,8.7
Cheryl Johnson,james09@gmail.com,(704)395-0667x1684,9 am,WhatsApp,German,buy now,Mumbai,iPhone,5.2
Henry Gutierrez,liularry@hotmail.com,6741972143,2 pm,sms,English,know more,Toronto,iPhone,7.5
Bradley Williams,debra78@gmail.com,001-133-452-2483,4 pm,WhatsApp,English,order now,Dubai,Android,6.6
Robert Charles,watsonchloe@gmail.com,298-728-3214,5 pm,WhatsApp,German,book now,New York,Android,6.5
Mark Wilson,pittsamanda@peterson.biz,466.477.1755x4466,3 pm,WhatsApp,Chinese,book now,Paris,Android,17.2
Ronald Wood,jadebecker@gmail.com,001-900-864-7576x88546,12 pm,email,French,order now,Mumbai,iPhone,6.6
Tiffany Palmer,daveanthony@yahoo.com,084.847.3673x3313,12 pm,WhatsApp,French,book now,Berlin,iPhone,5.2
Elijah Dorsey,michaelgordon@gmail.com,8073514640,2 pm,WhatsApp,Spanish,order now,Paris,Android,18.0
Dr. Teresa Singh DDS,sweeneyjuan@williams-foster.net,233-839-9773,8 am,sms,French,order now,Toronto,Android,4.3
Carolyn Perry,amiller@buchanan-smith.com,001-539-090-2297,3 pm,email,Spanish,buy now,Tokyo,Android,8.9
Anthony Ramirez,eduardo15@medina.com,+1-238-191-8216x0842,1 pm,WhatsApp,English,know more,New York,Android,5.7
Mr. Caleb West,kyle45@lewis-thomas.com,449.237.2110x273,9 am,sms,French,know more,Toronto,iPhone,5.5
Alexandra Leach,tinaphelps@gmail.com,202-514-7532x84390,12 pm,email,English,order now,New York,iPhone,9.1
Hannah Wilkinson,jimmy16@gmail.com,321-379-8229x20121,9 am,WhatsApp,Chinese,book now,Mumbai,iPhone,8.3
Cory Delgado,jennifersims@yahoo.com,899-253-0806,1 pm,WhatsApp,Spanish,book now,Berlin,iPhone,6.3
Victoria Spears,ashleycurtis@gmail.com,481-078-8085,5 pm,sms,French,book now,New York,Android,16.1
Dorothy Davis,michaelpatel@navarro.org,001-096-090-7716,8 am,email,Spanish,purchase now,Birmingham,iPhone,9.9
George Dixon,olsonandrea@gmail.com,001-456-324-9229,9 am,WhatsApp,English,buy now,Dubai,iPhone,7.5
Melissa Preston,bradleyshannon@thomas.org,511.757.3819,11 am,sms,Spanish,order now,Paris,iPhone,5.4
Brittany Williams,sramirez@hotmail.com,(422)405-3793,4 pm,email,English,purchase now,Berlin,iPhone,9.3
Amanda Carrillo,perrystacey@robinson.com,2267935403,11 am,WhatsApp,French,buy now,Berlin,iPhone,5.3
